Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D49,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,109.75,-60.4,0.0,top
D5,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,118.95,-53.5,0.0,top
D50,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,112.05,-60.4,0.0,top
D51,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,114.35,-60.4,0.0,top
D52,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,116.65,-60.4,0.0,top
D53,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,118.95,-60.4,0.0,top
D54,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,121.25,-60.4,0.0,top
D55,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,123.55,-60.4,0.0,top
D56,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,125.85,-60.4,0.0,top
D57,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,128.15,-60.4,0.0,top
D58,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,130.45,-60.4,0.0,top
D59,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,132.75,-60.4,0.0,top
D6,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,121.25,-53.5,0.0,top
D60,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,135.05,-60.4,0.0,top
D61,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,137.35,-60.4,0.0,top
D62,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,139.65,-60.4,0.0,top
D63,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,141.95,-60.4,0.0,top
D64,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,144.25,-60.4,0.0,top
D65,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,109.75,-62.7,0.0,top
D66,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,112.05,-62.7,0.0,top
D67,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,114.35,-62.7,0.0,top
D68,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,116.65,-62.7,0.0,top
D69,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,118.95,-62.7,0.0,top
D7,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,123.55,-53.5,0.0,top
D70,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,121.25,-62.7,0.0,top
D71,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,123.55,-62.7,0.0,top
D72,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,125.85,-62.7,0.0,top
D73,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,128.15,-62.7,0.0,top
D74,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,130.45,-62.7,0.0,top
D75,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,132.75,-62.7,0.0,top
D76,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,135.05,-62.7,0.0,top
D77,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,137.35,-62.7,0.0,top
D78,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,139.65,-62.7,0.0,top
D79,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,141.95,-62.7,0.0,top
D8,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,125.85,-53.5,0.0,top
D80,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,144.25,-62.7,0.0,top
D81,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,109.75,-65.0,0.0,top
D82,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,112.05,-65.0,0.0,top
D83,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,114.35,-65.0,0.0,top
D84,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,116.65,-65.0,0.0,top
D85,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,118.95,-65.0,0.0,top
D86,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,121.25,-65.0,0.0,top
D87,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,123.55,-65.0,0.0,top
D88,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,125.85,-65.0,0.0,top
D89,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,128.15,-65.0,0.0,top
D9,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,128.15,-53.5,0.0,top
D90,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,130.45,-65.0,0.0,top
D91,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,132.75,-65.0,0.0,top
D92,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,135.05,-65.0,0.0,top
D93,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,137.35,-65.0,0.0,top
D94,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,139.65,-65.0,0.0,top
D95,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,141.95,-65.0,0.0,top
D96,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,144.25,-65.0,0.0,top
D97,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,109.75,-67.3,0.0,top
D98,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,112.05,-67.3,0.0,top
D99,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,114.35,-67.3,0.0,top
J3,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,127.0,-96.78,0.0,top
L1,470n,L_1008_2520Metric,137.606,-84.031,0.0,top
LS1,BUZZER,CMT5023SSMTTR,121.2,-83.6,180.0,top
Q1,NPN_BEC,SOT-323_SC-70,113.2,-81.4,0.0,top
R1,5k1,R_0402_1005Metric,125.65,-92.25,-90.0,top
R10,33,R_0402_1005Metric,128.4,-92.25,90.0,top
R11,330,R_0402_1005Metric,141.2,-88.4,180.0,top
R12,1k,R_0402_1005Metric,135.15,-84.56,90.0,top
R13,330,R_0402_1005Metric,141.2,-92.35,0.0,top
R14,5k1,R_0402_1005Metric,135.15,-88.0,0.0,top
R15,330,R_0402_1005Metric,113.2,-83.27,0.0,top
R16,1k,R_0402_1005Metric,116.05,-83.27,180.0,top
R17,5k1,R_0402_1005Metric,124.32,-80.4,0.0,top
R18,5k1,R_0402_1005Metric,125.45,-84.31,-90.0,top
R2,1k,R_0402_1005Metric,135.15,-86.95,0.0,top
R3,1k,R_0402_1005Metric,118.9,-92.45,0.0,top
R4,1k,R_0402_1005Metric,135.6,-90.35,90.0,top
R5,5k1,R_0402_1005Metric,124.7,-92.25,-90.0,top
R6,200k,R_0402_1005Metric,135.6606,-80.45,180.0,top
R7,5k1,R_0402_1005Metric,135.15,-88.95,0.0,top
R8,33,R_0402_1005Metric,129.3,-92.25,90.0,top
R9,33k,R_0402_1005Metric,135.6606,-81.45,180.0,top
SW1,UP,SW_SPST_PTS810,114.55,-85.95,0.0,top
SW2,DOWN,SW_SPST_PTS810,114.55,-93.35,180.0,top
SW3,LEFT,SW_SPST_PTS810,110.965,-89.655,0.0,top
SW4,RIGHT,SW_SPST_PTS810,118.135,-89.655,0.0,top
SW5,B,SW_SPST_PTS810,138.45,-90.35,-90.0,top
SW6,A,SW_SPST_PTS810,143.95,-90.35,-90.0,top
SW7,RESET,SW_SPST_PTS810,118.125,-99.575,180.0,top
SW8,BOOTSEL,SW_SPST_PTS810,110.96,-99.57,180.0,top
U1,3V3LDO,SOT-23,141.5,-85.3,0.0,top
U2,32Mb QSPI,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,134.6,-92.55,180.0,top
U3,LSM6DS3TR-C,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,127.0,-81.534,0.0,top
U4,TPS61022,Texas_RWU0007A_VQFN-7_2x2mm_P0.5mm,138.15345,-81.431,180.0,top
U6,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,130.05,-87.2,180.0,top
Y1,12M,Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm,132.6,-81.54,0.0,top
